Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
72,Integrated Science & Technology,Bachelors,"$73,700","$137,300",54%
73,Business Analysis,Bachelors,"$73,100","$137,000",47%
74,Business & Economics,Bachelors,"$69,000","$136,700",43%
74,Economics and Mathematics,Bachelors,"$79,800","$136,700",38%
76,Software Engineering,Bachelors,"$86,800","$136,600",45%
77,Computer & Information Science,Bachelors,"$78,500","$135,600",57%
78,Global & International Studies,Bachelors,"$62,300","$135,100",55%
79,Entrepreneurship & Marketing,Bachelors,"$66,100","$134,800",48%
80,International Economics,Bachelors,"$66,200","$134,500",53%
80,Materials Engineering,Bachelors,"$83,700","$134,500",59%
82,Economics,Bachelors,"$72,900","$134,200",41%
82,Environmental Health & Safety Management,Bachelors,"$69,500","$134,200",60%
84,Interactive Media Design,Bachelors,"$62,400","$134,100",33%
85,Mechanical Engineering (ME),Bachelors,"$82,000","$133,700",49%
85,Packaging Science,Bachelors,"$80,700","$133,700",41%
87,Management Information Systems (MIS),Bachelors,"$76,300","$133,400",43%
88,Ceramic Engineering,Bachelors,"$78,700","$133,200",-
88,Structural Engineering (SE),Bachelors,"$79,000","$133,200",67%
90,Telecommunications Engineering,Bachelors,"$81,400","$132,800",53%
91,Construction Project Management,Bachelors,"$71,500","$132,500",64%
92,Finance & Real Estate,Bachelors,"$75,700","$132,100",43%
93,Electronics Engineering,Bachelors,"$81,500","$131,700",67%
94,Automotive Engineering,Bachelors,"$76,600","$131,600",48%
95,Plastics Engineering,Bachelors,"$81,500","$131,000",57%
95,Mathematics & Statistics,Bachelors,"$74,400","$131,000",43%
97,Information & Decision Sciences,Bachelors,"$75,400","$130,000",35%
98,Mechanical,Bachelors,"$82,200","$129,900",-
99,Applied Physics,Bachelors,"$78,700","$129,800",52%
100,Building Construction (BC),Bachelors,"$75,500","$129,700",48%
101,Accounting & Economics,Bachelors,"$76,700","$129,100",50%
102,Psychobiology,Bachelors,"$60,500","$128,600",67%
103,Astrophysics,Bachelors,"$81,600","$128,300",60%
103,Financial Economics,Bachelors,"$73,200","$128,300",34%
105,International Business & Finance,Bachelors,"$71,500","$128,100",27%
106,Computing & Information Systems (CIS),Bachelors,"$70,900","$127,700",47%
107,Asian Studies,Bachelors,"$54,800","$127,500",44%
108,Government,Bachelors,"$65,800","$127,400",44%
108,Nuclear Engineering Technology (NET),Bachelors,"$96,500","$127,400",53%
108,Finance & Economics,Bachelors,"$72,400","$127,400",42%
111,Marketing & International Business,Bachelors,"$62,100","$127,200",40%
112,Biochemistry & Molecular Biology,Bachelors,"$64,000","$127,000",71%
112,Information Systems Management,Bachelors,"$72,600","$127,000",49%
114,Business Information Systems,Bachelors,"$75,500","$126,600",45%
114,Mathematics,Bachelors,"$74,900","$126,600",44%
116,Information Security & Assurance,Bachelors,"$70,600","$126,400",46%
117,Civil Engineering (CE),Bachelors,"$75,800","$126,100",65%
118,Construction Management,Bachelors,"$74,200","$125,900",59%
119,Polymer Science & Engineering,Bachelors,"$86,100","$125,800",-
120,International Management,Bachelors,"$67,500","$125,700",-
121,Applied Economics,Bachelors,"$71,900","$125,600",41%
121,Construction Science,Bachelors,"$79,800","$125,600",69%
121,Economics & Political Science,Bachelors,"$66,100","$125,600",49%
124,Political Communication,Bachelors,"$59,300","$125,500",52%
125,Aeronautical Science,Bachelors,"$64,900","$125,300",64%
125,Control Engineering,Bachelors,"$80,000","$125,300",61%
127,Russian Studies,Bachelors,"$57,900","$125,200",40%
128,Business Economics,Bachelors,"$68,600","$125,100",45%
129,Civil & Environmental Engineering,Bachelors,"$75,900","$124,900",65%
130,Business Computer Information Systems (BCIS),Bachelors,"$76,500","$124,500",38%
131,Cybersecurity,Bachelors,"$74,800","$124,400",56%
132,Engineering Management,Bachelors,"$79,400","$124,200",50%
132,Information Systems (IS),Bachelors,"$75,300","$124,200",45%
132,Manufacturing Engineering,Bachelors,"$79,800","$124,200",50%
132,Real Estate,Bachelors,"$71,400","$124,200",43%
136,Building Construction Management,Bachelors,"$73,600","$124,100",68%
137,Plastics Engineering Technology,Bachelors,"$75,000","$124,000",30%
138,International Marketing,Bachelors,"$67,500","$123,700",21%
139,Aviation,Bachelors,"$67,500","$123,000",54%
139,Biosystems Engineering,Bachelors,"$74,800","$123,000",70%
141,Data Processing,Bachelors,"$75,900","$122,800",43%
141,Food Marketing,Bachelors,"$67,100","$122,800",30%
143,Computer Science & Information Technology,Bachelors,"$76,300","$122,500",49%
144,Agricultural Economics,Bachelors,"$62,400","$122,400",59%
144,Management & Finance,Bachelors,"$66,100","$122,400",61%
144,Strategic Management,Bachelors,"$76,400","$122,400",50%
147,Computer Management Information Systems (CMIS),Bachelors,"$65,800","$122,300",48%
148,Organic Chemistry,Bachelors,"$51,400","$122,200",-
149,Finance,Bachelors,"$70,800","$122,000",42%
150,Financial Planning,Bachelors,"$63,300","$121,900",59%
151,Web Development,Bachelors,"$64,600","$121,700",41%
152,European Studies,Bachelors,"$62,700","$121,600",42%
153,Construction Engineering,Bachelors,"$78,300","$121,300",61%
154,International Relations,Bachelors,"$62,900","$121,200",49%
155,Molecular Biology,Bachelors,"$64,300","$121,100",67%
155,International Business,Bachelors,"$65,100","$121,100",40%
157,Computer Information Systems (CIS),Bachelors,"$71,700","$121,000",48%
158,Information Security,Bachelors,"$76,400","$120,700",40%
158,Japanese Language,Bachelors,"$62,100","$120,700",39%
160,East Asian Studies,Bachelors,"$60,100","$120,400",50%
161,Economics & Management,Bachelors,"$62,800","$120,100",-
162,European History,Bachelors,"$62,700","$120,000",39%
163,Agricultural Engineering (AE),Bachelors,"$73,500","$119,900",60%
164,Architectural Engineering,Bachelors,"$76,400","$119,800",58%
164,Entrepreneurship & Leadership,Bachelors,"$67,000","$119,800",42%
164,Computing,Bachelors,"$73,400","$119,800",56%
167,Information Technology Management,Bachelors,"$74,100","$119,700",50%
168,Electrical Engineering Technology (EET),Bachelors,"$76,100","$119,600",49%
169,Chinese Language,Bachelors,"$62,700","$119,500",42%
170,Business Finance,Bachelors,"$67,100","$119,400",44%
171,Sales & Business Marketing,Bachelors,"$67,000","$119,300",53%
172,Safety Science,Bachelors,"$72,600","$119,200",67%
173,Corporate Finance,Bachelors,"$74,500","$119,100",40%
174,Industrial Distribution,Bachelors,"$73,600","$118,900",48%
175,Computer Engineering Technology (CET),Bachelors,"$72,900","$118,800",44%
176,Dairy Science,Bachelors,"$60,100","$118,300",68%
177,Japanese Studies,Bachelors,"$59,700","$118,100",18%
178,Network Engineering,Bachelors,"$71,500","$118,000",51%
179,Environmental Engineering,Bachelors,"$72,600","$117,700",61%
180,Accounting & Taxation,Bachelors,"$60,000","$117,500",-
181,Robotics,Bachelors,"$91,100","$117,400",57%
182,Biotechnology,Bachelors,"$63,000","$116,900",61%
183,Accounting & Finance,Bachelors,"$69,100","$116,700",46%
184,Mechanical Engineering Technology (MET),Bachelors,"$74,200","$116,500",49%
185,Operations Management (OM),Bachelors,"$72,100","$116,200",44%
186,Food Science & Technology,Bachelors,"$61,700","$116,100",49%
187,Agricultural Economics & Business,Bachelors,"$63,700","$115,800",56%
188,Biochemistry (BCH),Bachelors,"$58,900","$115,600",64%
188,Computer Networking Systems,Bachelors,"$67,100","$115,600",49%
188,Product Design,Bachelors,"$72,100","$115,600",38%
191,Mechanical Design,Bachelors,"$70,000","$115,500",50%
192,Labor Relations,Bachelors,"$59,500","$115,300",42%
192,Information Assurance,Bachelors,"$63,500","$115,300",60%
194,Business Operations,Bachelors,"$64,600","$115,100",-
195,Environmental Policy Analysis & Planning,Bachelors,"$60,800","$114,900",68%
196,Information Technology (IT),Bachelors,"$69,800","$114,800",47%
196,International Development Studies,Bachelors,"$57,200","$114,800",62%
198,Rhetoric,Bachelors,"$60,300","$114,700",42%
199,Aviation Management,Bachelors,"$58,900","$114,600",58%
199,Consumer Economics,Bachelors,"$62,400","$114,600",45%
201,Electromechanical Engineering,Bachelors,"$82,400","$114,500",62%
201,Informatics,Bachelors,"$81,600","$114,500",45%
203,Computer Security,Bachelors,"$78,500","$114,100",40%
203,Software Applications & Programming,Bachelors,"$73,700","$114,100",33%
203,Business & Marketing,Bachelors,"$61,400","$114,100",47%
206,Social Ecology,Bachelors,"$56,200","$114,000",-
207,Accounting & Auditing,Bachelors,"$67,600","$113,900",42%
207,Database Management,Bachelors,"$78,600","$113,900",-
207,Industrial Management,Bachelors,"$67,800","$113,900",51%
210,Politics,Bachelors,"$61,300","$113,800",50%
211,Business Technology Management,Bachelors,"$69,000","$113,700",-
211,Construction Science & Management,Bachelors,"$75,700","$113,700",73%
211,Political Science/Public Law,Bachelors,"$60,000","$113,700",70%
211,Government & International Politics (GVIP),Bachelors,"$60,700","$113,700",43%
215,Aviation Flight Science (AFL),Bachelors,"$64,200","$113,500",49%
216,Engineering Technology (ET),Bachelors,"$67,600","$113,400",50%
217,Information Technology (IT) & Systems,Bachelors,"$72,000","$113,300",48%
218,Telecommunications Management,Bachelors,"$64,700","$112,900",44%
219,Agribusiness,Bachelors,"$58,600","$112,700",54%
219,Occupational Health and Safety,Bachelors,"$69,000","$112,700",69%
219,Physical Therapy,Bachelors,"$57,500","$112,700",88%
222,Industrial Safety,Bachelors,"$61,100","$112,600",80%
222,Music Production & Engineering,Bachelors,"$55,100","$112,600",51%
224,Business & Finance,Bachelors,"$63,400","$112,400",56%
224,Civil Engineering Technology (CET),Bachelors,"$67,900","$112,400",60%
226,Chemistry,Bachelors,"$60,200","$112,300",56%
226,French Literature,Bachelors,"$56,300","$112,300",50%
228,Operations & Supply Chain Management,Bachelors,"$71,500","$112,200",45%
229,Computer Information Systems,Bachelors,"$67,100","$111,900",45%
229,Marketing,Bachelors,"$60,200","$111,900",41%
231,Finance & Banking,Bachelors,"$65,100","$111,800",46%
232,Computer Programming,Bachelors,"$68,800","$111,700",50%
233,Marketing & Management,Bachelors,"$59,700","$111,500",47%
233,Supply Chain Management,Bachelors,"$71,300","$111,500",42%
235,Technical Communication,Bachelors,"$57,200","$111,400",44%
236,Cell Biology,Bachelors,"$58,500","$111,300",59%
237,Networks & Telecommunications,Bachelors,"$64,600","$111,100",49%
238,Electronics Engineering Technology (EET),Bachelors,"$74,500","$110,800",50%
239,Biopsychology,Bachelors,"$61,600","$110,700",74%
239,Applied Networking & Systems Administration,Bachelors,"$67,500","$110,700",48%
241,Geological Engineering,Bachelors,"$70,500","$110,600",50%
242,Business Management & Marketing,Bachelors,"$58,700","$110,500",46%
242,Spanish Literature,Bachelors,"$59,500","$110,500",48%
244,Real Estate Development,Bachelors,"$68,900","$110,400",-
245,Electronics & Computer Technology,Bachelors,"$62,300","$110,300",-
245,Industrial Technology (IT),Bachelors,"$74,100","$110,300",48%
247,Accounts,Bachelors,"$69,100","$110,200",44%
247,Construction Technology,Bachelors,"$73,700","$110,200",-
247,Risk Management,Bachelors,"$65,700","$110,200",53%
250,Industrial Engineering Technology,Bachelors,"$77,600","$110,100",50%
250,Genetics,Bachelors,"$63,200","$110,100",73%
252,Government & Politics,Bachelors,"$62,100","$110,000",51%
252,Microbiology & Immunology,Bachelors,"$65,400","$110,000",75%
254,Digital Design,Bachelors,"$57,800","$109,700",40%
254,Hotel Management,Bachelors,"$58,000","$109,700",47%
254,Italian Language,Bachelors,"$58,400","$109,700",41%
254,Safety Management,Bachelors,"$69,300","$109,700",67%
258,Environmental Health & Safety,Bachelors,"$66,500","$109,600",66%
258,Marketing Communication,Bachelors,"$54,700","$109,600",42%
258,Political Science,Bachelors,"$59,800","$109,600",47%
258,Welding Engineering Technology,Bachelors,"$83,700","$109,600",44%
262,Industrial Psychology,Bachelors,"$58,100","$109,500",50%
263,Pharmaceutical Sciences (PS),Bachelors,"$62,000","$109,200",67%
263,Marketing & Communications,Bachelors,"$58,400","$109,200",46%
265,Network Security,Bachelors,"$69,900","$109,100",52%
266,Industrial Design (ID),Bachelors,"$64,600","$109,000",40%
266,Sales & Marketing,Bachelors,"$62,800","$109,000",48%
268,Environmental Science & Policy,Bachelors,"$58,800","$108,800",57%
268,Organizational Behavior,Bachelors,"$65,200","$108,800",57%
270,Business Data Analysis,Bachelors,"$74,800","$108,700",38%
271,Physics & Astronomy,Bachelors,"$67,800","$108,600",32%
272,Philosophy,Bachelors,"$62,700","$108,400",42%
273,Accounting,Bachelors,"$64,200","$108,300",42%
273,German Language,Bachelors,"$60,600","$108,300",43%
273,Comparative Literature,Bachelors,"$54,500","$108,300",49%
276,Architecture,Bachelors,"$60,000","$108,100",52%
277,Advertising Design,Bachelors,"$63,200","$108,000",32%
278,Accounting & Computer Systems,Bachelors,"$77,800","$107,500",-
278,Financial Accounting,Bachelors,"$65,600","$107,500",49%
280,Risk Management & Insurance,Bachelors,"$69,700","$107,400",46%
281,Urban Planning,Bachelors,"$57,600","$107,300",56%
282,Accounting & Management,Bachelors,"$63,900","$107,000",55%
282,Cell & Molecular Biology,Bachelors,"$59,800","$107,000",66%
282,Manufacturing Management,Bachelors,"$73,200","$107,000",41%
285,Computer & Network Administration,Bachelors,"$65,700","$106,800",46%
286,Occupational Therapy (OT),Bachelors,"$63,500","$106,700",86%
287,Manufacturing Engineering Technology,Bachelors,"$76,800","$106,500",50%
288,Advertising,Bachelors,"$55,100","$106,400",33%
288,Project Management,Bachelors,"$66,500","$106,400",56%
290,Organizational Psychology,Bachelors,"$58,100","$106,300",52%
291,Insurance,Bachelors,"$66,100","$106,200",51%
292,Labor Studies,Bachelors,"$55,300","$106,000",50%
293,Applied Computer Science,Bachelors,"$76,500","$105,900",41%
293,Geology,Bachelors,"$57,800","$105,900",55%
293,Marketing Management,Bachelors,"$60,900","$105,900",41%
296,Design,Bachelors,"$62,400","$105,800",39%
296,Radiation Therapy,Bachelors,"$78,100","$105,800",91%
296,Strategic Communication,Bachelors,"$54,900","$105,800",43%
296,Transportation & Logistics Management,Bachelors,"$67,700","$105,800",48%
300,Electronic Systems Technology (EST),Bachelors,"$89,500","$105,600",44%
300,Latin American Studies,Bachelors,"$54,900","$105,600",60%
302,Agronomy,Bachelors,"$56,400","$105,300",67%
302,Environmental Health,Bachelors,"$58,500","$105,300",68%
304,Applied Technology,Bachelors,"$67,500","$105,200",49%
305,Accounting Information Systems,Bachelors,"$73,000","$104,800",54%
305,Crop Science,Bachelors,"$56,400","$104,800",56%
305,Microbiology,Bachelors,"$56,800","$104,800",69%
308,Speech & Drama,Bachelors,"$47,100","$104,700",-
309,Entrepreneurship,Bachelors,"$63,600","$104,300",47%
309,Corporate Communications,Bachelors,"$57,300","$104,300",46%
311,Environmental Design,Bachelors,"$55,600","$104,200",54%
312,Advertising & Marketing Communications,Bachelors,"$56,800","$104,100",39%
313,Digital Media Design,Bachelors,"$53,800","$104,000",27%
313,Hotel Administration,Bachelors,"$79,700","$104,000",35%
313,Math & Science,Bachelors,"$65,900","$104,000",66%
316,Aeronautics,Bachelors,"$72,600","$103,900",62%
317,International Studies,Bachelors,"$58,100","$103,800",50%
317,Urban & Regional Planning,Bachelors,"$61,700","$103,800",60%
319,Computer Graphics Technology (CGT),Bachelors,"$59,400","$103,700",45%
320,Food Science,Bachelors,"$62,500","$103,400",49%
321,Global Business Management,Bachelors,"$65,700","$103,100",52%
321,Police Science,Bachelors,"$63,400","$103,100",-
323,Product Design Engineering,Bachelors,"$75,700","$102,900",41%
324,Anthropology & English,Bachelors,"$53,100","$102,700",-
324,Construction Engineering Technology,Bachelors,"$65,700","$102,700",60%
326,Sociology & Organizational Studies,Bachelors,"$63,800","$102,500",53%
327,Management & Organization,Bachelors,"$79,500","$102,400",53%
328,Logistics,Bachelors,"$67,900","$102,300",41%
329,Information Systems Security,Bachelors,"$66,200","$102,100",51%
329,International Affairs,Bachelors,"$60,300","$102,100",51%
331,Biological Sciences,Bachelors,"$58,600","$101,900",67%
331,Personal Financial Planning,Bachelors,"$62,700","$101,900",59%
333,Environmental Science,Bachelors,"$57,800","$101,600",61%
334,Theatre & Drama Studies,Bachelors,"$54,800","$101,400",50%
335,Cinema Studies,Bachelors,"$54,800","$101,200",37%
335,Land Surveying,Bachelors,"$59,400","$101,200",57%
337,Business Communication,Bachelors,"$60,000","$100,800",47%
338,German Studies,Bachelors,"$58,600","$100,600",45%
338,New Media Design,Bachelors,"$64,900","$100,600",28%
340,International Trade & Business,Bachelors,"$62,800","$100,300",23%
340,Technology,Bachelors,"$64,900","$100,300",-
340,Textile & Apparel Studies,Bachelors,"$55,000","$100,300",24%
343,Advertising & Promotion,Bachelors,"$55,100","$100,200",47%
343,City & Regional Planning,Bachelors,"$61,600","$100,200",69%
345,Advertising & Marketing,Bachelors,"$57,000","$99,800",39%
346,Aviation Maintenance Technology,Bachelors,"$59,000","$99,700",62%
346,English Literature,Bachelors,"$55,600","$99,700",46%
346,Urban Studies,Bachelors,"$59,500","$99,700",60%
346,Agricultural Science,Bachelors,"$55,100","$99,700",51%
350,Management,Bachelors,"$59,800","$99,600",49%
351,History & Politics,Bachelors,"$56,500","$99,400",59%
351,Human Biology,Bachelors,"$59,500","$99,400",72%
353,Automotive Technology,Bachelors,"$57,300","$99,300",52%
353,Fashion Design,Bachelors,"$55,500","$99,300",28%
353,Magazine Journalism,Bachelors,"$56,400","$99,300",38%
356,Textile Technology,Bachelors,"$62,300","$99,200",39%
356,American History (United States),Bachelors,"$60,700","$99,200",51%
356,Architectural Technology,Bachelors,"$57,400","$99,200",60%
359,Organizational Development,Bachelors,"$62,300","$99,100",57%
360,Business Administration,Bachelors,"$62,100","$99,000",51%
360,Interior Architecture,Bachelors,"$55,300","$99,000",49%
360,Journalism & Mass Communication,Bachelors,"$54,500","$99,000",45%
363,Business Administration & Accounting,Bachelors,"$61,600","$98,900",54%
364,Environmental & Natural Resource Economics,Bachelors,"$60,600","$98,800",66%
365,Neuroscience,Bachelors,"$60,900","$98,700",60%
366,Business Management,Bachelors,"$60,800","$98,600",52%
367,Computer Aided Drafting & Design (CADD),Bachelors,"$58,000","$98,400",51%
367,Drama,Bachelors,"$57,300","$98,400",43%
369,Bachelor in Science Nursing,Bachelors,"$78,500","$98,300",87%
370,Linguistics,Bachelors,"$60,800","$98,200",43%
371,Communication,Bachelors,"$56,900","$98,100",46%
371,Nursing Science,Bachelors,"$77,900","$98,100",84%
371,Writing,Bachelors,"$51,400","$98,100",45%
374,French Language,Bachelors,"$57,800","$98,000",48%
375,Integrated Marketing Communications,Bachelors,"$55,100","$97,900",37%
376,Architectural Design,Bachelors,"$52,000","$97,600",57%
377,Logistics Management,Bachelors,"$67,900","$97,500",38%
377,Natural Sciences,Bachelors,"$51,600","$97,500",57%
377,Public Affairs,Bachelors,"$61,100","$97,500",51%
380,Journalism,Bachelors,"$54,200","$97,400",44%
380,Technical Management,Bachelors,"$74,800","$97,400",68%
380,General Science,Bachelors,"$58,300","$97,400",59%
383,French Studies,Bachelors,"$60,700","$97,300",59%
383,Marketing & Mass Communications,Bachelors,"$56,500","$97,300",40%
383,Biology & Chemistry,Bachelors,"$57,300","$97,300",66%
386,Digital Media,Bachelors,"$53,200","$97,200",38%
387,Professional & Technical Writing,Bachelors,"$57,300","$96,900",47%
387,Public Relations & Communication,Bachelors,"$53,200","$96,900",49%
389,Textile Design,Bachelors,"$58,400","$96,800",36%
390,Finance & Marketing,Bachelors,"$69,100","$96,700",42%
390,Law,Bachelors,"$61,600","$96,700",52%
392,Nursing,Bachelors,"$75,300","$96,600",82%
392,Organizational Communication,Bachelors,"$54,100","$96,600",49%
394,Architectural Studies,Bachelors,"$52,500","$96,500",38%
394,Global Business,Bachelors,"$65,400","$96,500",31%
394,Hydrology,Bachelors,"$53,000","$96,500",-
394,Literature,Bachelors,"$54,800","$96,500",45%
394,Agriculture,Bachelors,"$55,100","$96,500",61%
399,Physiology,Bachelors,"$57,100","$96,300",66%
400,Music Technology,Bachelors,"$53,000","$96,200",39%
400,Pre-Medicine,Bachelors,"$59,100","$96,200",69%
400,Web & Digital Media Development,Bachelors,"$62,700","$96,200",37%
403,General Business,Bachelors,"$58,000","$96,100",51%
403,Public Relations (PR),Bachelors,"$53,500","$96,100",43%
403,History & Political Science,Bachelors,"$58,900","$96,100",48%
406,Administration of Justice,Bachelors,"$52,800","$96,000",53%
406,Biology,Bachelors,"$55,300","$96,000",66%
406,Web Design & Development,Bachelors,"$63,000","$96,000",45%
409,Personnel Management,Bachelors,"$59,600","$95,900",67%
410,Computer Animation,Bachelors,"$54,800","$95,800",42%
410,Quality Management,Bachelors,"$73,300","$95,800",64%
410,Retail & Consumer Science,Bachelors,"$61,600","$95,800",26%
413,Environmental Management,Bachelors,"$59,100","$95,700",63%
414,History,Bachelors,"$56,200","$95,600",47%
415,Environmental Biology,Bachelors,"$52,100","$95,500",68%
415,Media Studies,Bachelors,"$58,800","$95,500",39%
417,Apparel & Textile Manufacture,Bachelors,"$55,800","$95,400",33%
417,Philosophy & Religion,Bachelors,"$51,200","$95,400",59%
419,Publishing,Bachelors,"$54,000","$95,300",40%
420,Environmental Geography,Bachelors,"$58,300","$95,200",52%
421,Communication Studies & Journalism,Bachelors,"$52,700","$95,100",45%
422,Environmental Studies,Bachelors,"$57,000","$95,000",59%
422,Health Management,Bachelors,"$52,000","$95,000",-
424,Architectural Engineering Technology,Bachelors,"$55,400","$94,900",50%
425,Agribusiness Management,Bachelors,"$60,400","$94,700",40%
426,Interpersonal Communications,Bachelors,"$51,500","$94,600",51%
426,Retail Merchandising,Bachelors,"$60,900","$94,600",34%
428,Diagnostic Medical Sonography,Bachelors,"$74,100","$94,400",85%
428,Fashion,Bachelors,"$56,700","$94,400",39%
428,Network Administration,Bachelors,"$56,000","$94,400",55%
428,General & Strategic Management,Bachelors,"$57,300","$94,400",52%
432,Accounting & Business,Bachelors,"$61,000","$94,300",49%
433,Dental Hygiene,Bachelors,"$83,400","$94,000",80%
433,Electronic & Computer Technology,Bachelors,"$76,400","$94,000",65%
435,Journalism & Electronic Media,Bachelors,"$53,100","$93,900",45%
436,Geographic Information Systems (GIS),Bachelors,"$58,000","$93,800",53%
436,Toxicology,Bachelors,"$54,900","$93,800",-
438,Atmospheric Science,Bachelors,"$57,300","$93,600",56%
439,Retailing,Bachelors,"$57,300","$93,200",35%
439,Speech Communication,Bachelors,"$54,500","$93,200",56%
439,Visual Effects & Motion Graphics,Bachelors,"$55,900","$93,200",38%
442,Ancient History,Bachelors,"$53,600","$93,100",-
443,Broadcast & Cinematic Arts,Bachelors,"$49,400","$93,000",42%
443,Sports Management,Bachelors,"$53,000","$93,000",43%
445,Bachelor of Science in Nursing,Bachelors,"$74,300","$92,900",88%
445,Landscape Architecture,Bachelors,"$60,600","$92,900",66%
447,Professional Studies,Bachelors,"$49,900","$92,600",67%
448,Diagnostic Medical Ultrasound,Bachelors,"$78,900","$92,500",71%
448,Entomology,Bachelors,"$51,300","$92,500",-
448,Foreign Languages,Bachelors,"$56,200","$92,500",55%
451,Forestry,Bachelors,"$54,000","$92,200",68%
451,Workforce Education & Development,Bachelors,"$69,100","$92,200",77%
453,Leadership,Bachelors,"$55,600","$92,100",54%
453,Geography,Bachelors,"$58,300","$92,100",52%
455,Global Studies,Bachelors,"$60,400","$92,000",47%
455,Media Arts,Bachelors,"$52,800","$92,000",33%
